name;index;industry;sector;pca_0;pca_1;pca_2
Hanwha Corporation;000880;Conglomerates;Industrials;0.18587110884428437;-0.06135582647117069;-0.21468932976514776
MiraeING.Co.,Ltd.;007120;Security & Protection Services;Industrials;0.06350243207605649;0.6957167088316824;0.07226986045493317
SHINSEGAE FOOD Inc.;031440;Packaged Foods;Consumer Defensive;0.2369235204876805;0.10406561895592012;0.03550418312580287
Oyang Corporation;006090;Packaged Foods;Consumer Defensive;0.15291632038460834;0.30687835986897005;0.002047432914037868
Ilsung Is Co., Ltd.;003120;Drug Manufacturers - Specialty & Generic;Healthcare;0.2840919964153701;-0.20005995353550513;0.22330522675333547
Daehan Flour Mills Co.,Ltd;001130;Packaged Foods;Consumer Defensive;0.16685210217688196;-0.17038284099086085;0.1393671926197978
Duksung Co., Ltd.;004830;Textile Manufacturing;Consumer Cyclical;0.12141252476029157;0.30301311501519435;-0.19744190405566345
HDC HOLDINGS CO.,Ltd;012630;Engineering & Construction;Industrials;0.155971060641789;0.09179408557980065;-0.1926202079850723
Samsung Fire & Marine Insurance Co., Ltd.;000815;Insurance - Property & Casualty;Financial Services;0.2977826531903406;-0.23759547364936767;0.2137261603137002
Korea Petroleum Industries Company;004090;Building Materials;Basic Materials;0.2449956059254741;0.055548895481689176;0.018271064781149857
N.I Steel Co., Ltd.;008260;Steel;Basic Materials;0.11020345912381158;0.031623508674311546;-0.11647456959089647
HANDOK Inc.;002390;Drug Manufacturers - Specialty & Generic;Healthcare;0.06823713455879643;0.1195877672659442;0.13357247583009296
Taihan Textile Co., Ltd.;001070;Textile Manufacturing;Consumer Cyclical;0.16919451204493774;0.11329830374675767;0.02732250458371621
Comtec Systems Co.,Ltd.;031820;Communication Equipment;Technology;0.10558029923673451;0.3108683213911506;-0.033063745438269586
Namyang Dairy Products Co., Ltd;003920;Packaged Foods;Consumer Defensive;0.28509145691821536;-0.2598224541534129;0.20939827630446267
KCC Corporation;002380;Chemicals;Basic Materials;0.21005354740803628;-0.23237730944336116;-0.03874402567723628
Dongkuk Holdings Co.,Ltd.;001230;Steel;Basic Materials;0.12659412276496124;0.03325465421301521;-0.22355922097372463
Korea Airport Service Co.,Ltd.;005430;Airports & Air Services;Industrials;0.2223177449105438;-0.11750792300643485;-0.014998675787055445
Moonbaesteel Co.,Ltd;008420;Steel;Basic Materials;0.19509101729074163;-0.08655350680732664;-0.035426349398326534
Korea Cast Iron Pipe Ind. Co., Ltd.;000970;Steel;Basic Materials;0.23461176234999415;0.0071232933709102775;0.022067939695167793
Daelim B&Co Co.,Ltd.;005750;Building Products & Equipment;Industrials;0.16540567424467434;0.4024395430033676;-0.04426939306624044
SMBEXEL Company;010580;Auto Parts;Consumer Cyclical;0.1064500818188181;0.37890745453972696;-0.04319013731775737
Duksung Co., Ltd.;004835;Textile Manufacturing;Consumer Cyclical;0.10261241550809835;0.14163936444363148;0.09430046047329196
Dong Won Fisheries Co., Ltd.;030720;Food Distribution;Consumer Defensive;0.09997219750454911;0.1259112743011844;0.03886933474532829
D.I Corporation;003160;Semiconductor Equipment & Materials;Technology;0.11111195560370751;0.17879287982913974;-0.12089637888710347
Yoosung Enterprise Co., Ltd.;002920;Auto Parts;Consumer Cyclical;0.22892527037130717;-0.3023749900779916;-0.03539439027826421
Hwacheon Machine Tool Co., Ltd.;000850;Specialty Industrial Machinery;Industrials;0.2696268266528312;-0.2554443696571381;0.06287706709728388
CHASYS Co., Ltd.;033250;Auto Parts;Consumer Cyclical;0.08660525127023705;0.3397539404861244;-0.008067947152068593
Kumho Petro Chemical Co.,Ltd;011780;Specialty Chemicals;Basic Materials;0.10941908182778881;0.004975658386247583;-0.3321985813243845
Daewoong Co., Ltd.;003090;Drug Manufacturers - Specialty & Generic;Healthcare;0.12656826130540322;0.08462234836315127;0.118233886195233
Taeyoung Engineering & Construction Co.,Ltd.;009410;Engineering & Construction;Industrials;0.22198781290324132;-0.06198551019104118;-0.13175910664608265
Korean Reinsurance Company;003690;Insurance - Reinsurance;Financial Services;0.257353437496495;-0.13595075256377223;0.18158614641404497
Yesco Holdings Co., Ltd.;015360;Utilities - Regulated Gas;Utilities;0.41086722788969776;-0.3544736661313296;0.353379724987833
Yuanta Securities Korea Co., Ltd.;003475;Capital Markets;Financial Services;0.19853839061999357;-0.0016073592301994732;-0.07259151057709953
Doosan Corporation;000155;Conglomerates;Industrials;0.32759417053525874;-0.3000703670741496;0.04006175656999403
DONGBANG AGRO Corporation;007590;Agricultural Inputs;Basic Materials;0.4318950476498954;-0.1719690983223598;0.5626753357962858
Yuyu Pharma, Inc.;000220;Drug Manufacturers - Specialty & Generic;Healthcare;0.12960696066029442;0.14325567611302373;0.039447212263191755
LG H&H Co., Ltd.;051905;Household & Personal Products;Consumer Defensive;0.16682273494247146;0.02235152318153899;0.004047456618467095
Samil Pharmaceutical Co.,Ltd;000520;Drug Manufacturers - Specialty & Generic;Healthcare;0.21810453637935545;-0.09730711253557295;0.12349886368499108
Hyundai Marine & Fire Insurance Co., Ltd.;001450;Insurance - Property & Casualty;Financial Services;0.1846648517663133;-0.15856264125931457;-0.0710353164006329
Daehyun Co.,Ltd.;016090;Apparel Manufacturing;Consumer Cyclical;0.047009486454566596;0.29353419251726487;-0.10207463814926218
Kangnam Jevisco Co., Ltd;000860;Specialty Chemicals;Basic Materials;0.19560927078376344;-0.18589329303875918;0.09435309831827349
Sungmoon Electronics Co., Ltd.;014910;Electronic Components;Technology;0.1041406124538769;0.34254936203459463;-0.12772118005348104
Sajodongaone Co.,Ltd;008040;Packaged Foods;Consumer Defensive;0.14966521109777287;0.12080359940977384;0.053406531186167006
Shin Hwa Dynamics Co.,Ltd.;001770;Packaging & Containers;Consumer Cyclical;0.12309992079232951;0.07983216014796077;0.05564948461071612
Kbi Dongkook Ind.Co.,Ltd.;001620;Auto Parts;Consumer Cyclical;0.1482787773965063;-0.0071198509852186675;-0.20984817334811698
SIMPAC Inc.;009160;Specialty Industrial Machinery;Industrials;0.10924200417359592;-0.12450724874096945;-0.128068212228977
Suheung Co., Ltd.;008490;Drug Manufacturers - Specialty & Generic;Healthcare;0.11579397008506442;-0.03755187461408235;0.07067742055381503
Hyundai Elevator Co., Ltd;017800;Specialty Industrial Machinery;Industrials;0.16156660005776913;0.09750255685775946;0.0005605393326004321
Korea Refractories Co., Ltd;010040;Specialty Industrial Machinery;Industrials;0.16386778665132107;-0.1317020442991003;0.011701358145246706
Daewon Kang Up Co., Ltd.;000430;Auto Parts;Consumer Cyclical;0.24230032395350887;-0.22958770382879776;0.03200643108049067
Namhae Chemical Corporation;025860;Agricultural Inputs;Basic Materials;0.19663200166117056;-0.18381212532004557;-0.10474233461708801
Lee Ku Industrial Co., Ltd.;025820;Metal Fabrication;Industrials;0.1800289731473017;0.012218043060432504;0.06646559095848599
Savezone I&C Corporation;067830;Department Stores;Consumer Cyclical;0.19486400777794544;-0.12784222884232177;-0.11444553132968521
Shindaeyang Paper Co., Ltd.;016590;Paper & Paper Products;Basic Materials;0.14804602770571684;0.007756474508066213;0.10108191081393322
Samick THK Co., Ltd.;004380;Semiconductor Equipment & Materials;Technology;0.17841456541574563;0.017528955050777312;0.022578501828257033
Samyang Foods Co., Ltd.;003230;Packaged Foods;Consumer Defensive;0.1608673740960107;-0.08584046740567373;-0.08474880463988485
Heung-A Shipping Co.,Ltd.;003280;Marine Shipping;Industrials;0.009392221631406295;0.2941529434596155;-0.1329523876675688
Daehan Synthetic Fiber Co., Ltd.;003830;Textile Manufacturing;Consumer Cyclical;0.2262873523783525;-0.05350374274338035;0.07589249256043587
Songwon Industrial Co., Ltd.;004430;Specialty Chemicals;Basic Materials;0.03157467881452908;0.2053931699451669;-0.042016432136602895
Daechang Co., Ltd.;012800;Metal Fabrication;Industrials;0.12687918164638445;0.04184841395201175;-0.12345250290742413
Jeil Pharma Holdings Inc;002620;Drug Manufacturers - Specialty & Generic;Healthcare;0.1641730759723813;0.3088370603316025;0.04988133167419323
THN Corporation;019180;Auto Parts;Consumer Cyclical;0.12722439862932533;0.20646202838845754;-0.08792117524652934
Muhak Co., Ltd.;033920;Beverages - Wineries & Distilleries;Consumer Defensive;0.1805938580314932;0.019108298561913595;0.07232804792906523
Hanall Biopharma Co., Ltd.;009420;Drug Manufacturers - Specialty & Generic;Healthcare;0.03860794446276833;0.42329404516290137;-0.08592934067747912
Hyundai Engineering & Construction Co.,Ltd.;000720;Engineering & Construction;Industrials;0.21850569191842228;-0.11887670540244416;-0.26039390362772347
Seowon Co., Ltd.;021050;Metal Fabrication;Industrials;0.04405145490153223;0.3116778527522931;-0.0841179561795137
Woosung Co., Ltd.;006980;Packaged Foods;Consumer Defensive;0.14605206257127878;-0.05716767534301398;0.049529322403268995
Kumho Petro Chemical Co.,Ltd;011785;Specialty Chemicals;Basic Materials;0.195411293943492;-0.16504538526909687;-0.18213665600542098
MH Ethanol Co.,Ltd.;023150;Beverages - Wineries & Distilleries;Consumer Defensive;0.10465664718133322;0.03897504282451608;-0.029514456021677772
Dong Sung Bio Pharm.Co.,Ltd.;002210;Drug Manufacturers - Specialty & Generic;Healthcare;0.07928635037725151;0.20040603790657766;-0.01208353260634374
Nexen Tire Corporation;002350;Auto Parts;Consumer Cyclical;0.19239342281874572;-0.11827340483908633;-0.05459035352883861
Chokwang Leather Co.,Ltd.;004700;Auto Parts;Consumer Cyclical;0.1886046795254408;0.02150504411649226;0.11174458090023198
Kukje Pharma Co., Ltd.;002720;Drug Manufacturers - Specialty & Generic;Healthcare;0.12338954024524545;0.21687193199196117;-0.0854338440842399
Korea Investment Holdings Co., Ltd.;071050;Capital Markets;Financial Services;0.191957732930087;-0.16107982106766977;-0.23346547200979476
Hanshin Machinery Co., Ltd.;011700;Specialty Industrial Machinery;Industrials;0.12326119908804889;0.04807891036233794;-0.03227193746373121
DN Automotive Corporation;007340;Auto Parts;Consumer Cyclical;0.20492910505801354;-0.15960459436618674;0.11543415779764449
Cheil Worldwide Inc.;030000;Advertising Agencies;Communication Services;0.2056767766159564;-0.16874713891687443;0.06611366147976279
Shinhung Co., Ltd;004080;Medical Devices;Healthcare;0.26566605542386423;-0.034076539890935204;0.3642856102386806
SK Securities Co., Ltd.;001510;Asset Management;Financial Services;0.17793948370679968;-0.04670046002789785;-0.21613834000471063
Anam Electronics Co.,Ltd.;008700;Consumer Electronics;Technology;0.11706043205131156;0.2958576109889651;-0.08106678115867436
